order of tiretypes 	 1st pitstoplap 	 2nd pitstoplap 	 total race time 	 riskfactor
Soft-Medium	22		5475.01	High
Soft-Medium	23		5475.03	High
Soft-Medium	21		5475.06	Medium
Soft-Medium	24		5475.13	Very High
Soft-Medium	20		5475.16	Medium
Soft-Medium	25		5475.31	Failure!
Soft-Medium	19		5476.47	Medium
Soft-Medium	18		5476.68	Medium
Soft-Medium	17		5476.88	Low
Medium-Hard	33		5489.91	Failure!
Medium-Hard	32		5490.26	Very High
Soft-Hard	25		5490.26	Failure!
Medium-Hard	31		5490.67	High
Soft-Hard	24		5490.68	Very High
Medium-Hard	30		5491.15	High
Soft-Hard	23		5491.18	High
Medium-Hard	29		5491.68	High
Soft-Hard	22		5491.76	High
Soft-Hard	21		5492.41	Medium
Soft-Hard	20		5493.11	Medium
Medium-Hard	28		5493.35	Medium
Medium-Hard	27		5493.95	Medium
Medium-Hard	26		5494.55	Medium
Soft-Hard	19		5495.02	Medium
Medium-Hard	25		5495.15	Medium
Medium-Hard	24		5495.75	Medium
Soft-Hard	18		5495.82	Medium
Medium-Hard	23		5496.35	Low
Soft-Hard	17		5496.62	Low
Medium-Hard	22		5496.95	Low
Soft-Hard	16		5497.43	Low
Medium-Hard	21		5497.55	Low
Medium-Hard	20		5498.16	Low
Soft-Hard	15		5498.23	Low
Medium-Hard	19		5498.76	Low
Soft-Hard	14		5499.03	Low
Medium-Hard	18		5499.36	Low
Soft-Hard	13		5499.83	Low
Medium-Hard	17		5499.96	Low
Medium-Hard	16		5500.56	Low
Soft-Hard	12		5500.64	Low
Medium-Hard	15		5501.16	Low
Soft-Hard	11		5501.44	Low
Medium-Hard	14		5501.76	Low
Soft-Hard	10		5502.25	Low
Medium-Hard	13		5502.36	Low
Medium-Hard	12		5502.96	Low
Soft-Hard	9		5503.06	Low
Medium-Hard	11		5503.57	Low
Soft-Hard	8		5503.87	Low
Medium-Hard	10		5504.17	Low
Soft-Hard	7		5504.68	Low
Medium-Hard	9		5504.77	Low
Medium-Hard	8		5505.38	Low
Soft-Hard	6		5505.5	Low
Medium-Hard	7		5505.98	Low
Soft-Hard	5		5506.33	Low
Medium-Hard	6		5506.59	Low
Medium-Hard	5		5507.2	Low
Soft-Soft-Medium	3	22	5826.11	Medium
Soft-Soft-Medium	3	23	5826.13	Medium
Soft-Soft-Medium	3	21	5826.15	High
Soft-Soft-Medium	3	24	5826.23	Medium
Soft-Soft-Medium	3	20	5826.26	High
Soft-Medium-Soft	3	25	5826.41	Failure!
Soft-Soft-Medium	3	25	5826.41	Medium
