Softrondetijd:	Mediumrondetijd:	Hardrondetijd	pitstoptijd	maxpitstops	totale ronden
75.2	75.6	75.7	23.0	3	72
volgorde bandentypes 	 1e pitstopronde 	 2e pitstopronde 	 3e pitstopronde 	 totale race tijd (hoe kleiner hoe beter) 	 risicofactor
Hard-Hard-Medium	21	46		5774.84	laag
Hard-Hard-Medium	21	47		5774.77	laag
Hard-Hard-Medium	21	48		5774.91	laag
Hard-Hard-Medium	22	45		5774.79	laag
Hard-Hard-Medium	22	46		5774.45	laag
Hard-Hard-Medium	22	47		5774.29	laag
Hard-Hard-Medium	22	48		5774.33	laag
Hard-Hard-Medium	22	49		5774.57	laag
Hard-Hard-Medium	23	45		5774.67	laag
Hard-Hard-Medium	23	46		5774.23	laag
Hard-Hard-Medium	23	47		5773.98	laag
Hard-Hard-Medium	23	48		5773.93	laag
Hard-Hard-Medium	23	49		5774.08	laag
Hard-Hard-Medium	23	50		5774.42	laag
Hard-Hard-Medium	23	51		5774.97	laag
Hard-Hard-Medium	24	45		5774.71	laag
Hard-Hard-Medium	24	46		5774.18	laag
Hard-Hard-Medium	24	47		5773.84	laag
Hard-Hard-Medium	24	48		5773.7	laag
Hard-Hard-Medium	24	49		5773.75	laag
Hard-Hard-Medium	24	50		5774.01	laag
Hard-Hard-Medium	24	51		5774.46	laag
Hard-Hard-Medium	25	45		5774.94	laag
Hard-Hard-Medium	25	46		5774.31	laag
Hard-Hard-Medium	25	47		5773.88	laag
Hard-Hard-Medium	25	48		5773.64	laag
Hard-Hard-Medium	25	49		5773.6	laag
Hard-Hard-Medium	25	50		5773.77	laag
Hard-Hard-Medium	25	51		5774.13	laag
Hard-Hard-Medium	25	52		5774.69	laag
Hard-Hard-Medium	26	46		5774.62	laag
Hard-Hard-Medium	26	47		5774.09	laag
Hard-Hard-Medium	26	48		5773.76	laag
Hard-Hard-Medium	26	49		5773.63	laag
Hard-Hard-Medium	26	50		5773.7	laag
Hard-Hard-Medium	26	51		5773.97	laag
Hard-Hard-Medium	26	52		5774.44	laag
Hard-Hard-Medium	27	47		5774.48	laag
Hard-Hard-Medium	27	48		5774.06	laag
Hard-Hard-Medium	27	49		5773.83	laag
Hard-Hard-Medium	27	50		5773.8	laag
Hard-Hard-Medium	27	51		5773.98	laag
Hard-Hard-Medium	27	52		5774.36	laag
Hard-Hard-Medium	27	53		5774.94	laag
Hard-Hard-Medium	28	48		5774.53	laag
Hard-Hard-Medium	28	49		5774.2	laag
Hard-Hard-Medium	28	50		5774.08	laag
Hard-Hard-Medium	28	51		5774.16	laag
Hard-Hard-Medium	28	52		5774.45	laag
Hard-Hard-Medium	28	53		5774.94	laag
Hard-Hard-Medium	29	49		5774.76	laag
Hard-Hard-Medium	29	50		5774.54	laag
Hard-Hard-Medium	29	51		5774.53	laag
Hard-Hard-Medium	29	52		5774.71	laag
Hard-Medium-Hard	20	47		5774.95	laag
Hard-Medium-Hard	20	48		5774.79	laag
Hard-Medium-Hard	20	49		5774.94	gemiddeld
Hard-Medium-Hard	21	46		5774.94	laag
Hard-Medium-Hard	21	47		5774.67	laag
Hard-Medium-Hard	21	48		5774.33	laag
Hard-Medium-Hard	21	49		5774.28	laag
Hard-Medium-Hard	21	50		5774.53	gemiddeld
Hard-Medium-Hard	22	46		5774.65	laag
Hard-Medium-Hard	22	47		5774.29	laag
Hard-Medium-Hard	22	48		5774.13	laag
Hard-Medium-Hard	22	49		5774.17	laag
Hard-Medium-Hard	22	50		5774.23	laag
Hard-Medium-Hard	22	51		5774.59	gemiddeld
Hard-Medium-Hard	23	46		5774.53	laag
Hard-Medium-Hard	23	47		5774.08	laag
Hard-Medium-Hard	23	48		5773.83	laag
Hard-Medium-Hard	23	49		5773.78	laag
Hard-Medium-Hard	23	50		5773.92	laag
Hard-Medium-Hard	23	51		5774.09	laag
Hard-Medium-Hard	23	52		5774.56	gemiddeld
Hard-Medium-Hard	24	46		5774.58	laag
Hard-Medium-Hard	24	47		5774.04	laag
Hard-Medium-Hard	24	48		5773.7	laag
Hard-Medium-Hard	24	49		5773.56	laag
Hard-Medium-Hard	24	50		5773.61	laag
Hard-Medium-Hard	24	51		5773.86	laag
Hard-Medium-Hard	24	52		5774.14	laag
Hard-Medium-Hard	24	53		5774.73	gemiddeld
Hard-Medium-Hard	25	46		5774.81	laag
Hard-Medium-Hard	25	47		5774.18	laag
Hard-Medium-Hard	25	48		5773.74	laag
Hard-Medium-Hard	25	49		5773.51	laag
Hard-Medium-Hard	25	50		5773.47	laag
Hard-Medium-Hard	25	51		5773.63	laag
Hard-Medium-Hard	25	52		5773.99	laag
Hard-Medium-Hard	25	53		5774.38	laag
Hard-Medium-Hard	26	47		5774.49	laag
Hard-Medium-Hard	26	48		5773.96	laag
Hard-Medium-Hard	26	49		5773.63	laag
Hard-Medium-Hard	26	50		5773.5	laag
Hard-Medium-Hard	26	51		5773.57	laag
Hard-Medium-Hard	26	52		5773.84	laag
Hard-Medium-Hard	26	53		5774.32	laag
Hard-Medium-Hard	26	54		5774.82	laag
Hard-Medium-Hard	27	47		5774.98	laag
Hard-Medium-Hard	27	48		5774.36	laag
Hard-Medium-Hard	27	49		5773.93	laag
Hard-Medium-Hard	27	50		5773.7	laag
Hard-Medium-Hard	27	51		5773.68	laag
Hard-Medium-Hard	27	52		5773.86	laag
