Softrondetijd:	Mediumrondetijd:	Hardrondetijd	pitstoptijd	maxpitstops	totale ronden
75.0	75.4	76.0	23.0	2	72
volgorde bandentypes 	 1e pitstopronde 	 2e pitstopronde 	 totale race tijd (hoe kleiner hoe beter) 	 risicofactor
Hard-Medium	1		5839.285920000001	Klapband!
Hard-Medium	2		5839.893360000001	Klapband!
Hard-Medium	3		5840.504520000001	Klapband!
Hard-Medium	4		5841.119400000001	Klapband!
Hard-Medium	5		5841.738000000001	Klapband!
Hard-Medium	6		5842.360320000001	Klapband!
Hard-Medium	7		5842.986360000001	Klapband!
Hard-Medium	8		5843.6161200000015	Klapband!
Hard-Medium	9		5844.249600000001	Klapband!
Hard-Medium	10		5844.886800000001	Klapband!
Hard-Medium	11		5845.527720000001	Klapband!
Hard-Medium	12		5846.172360000001	Klapband!
Hard-Medium	13		5846.820720000001	Klapband!
Hard-Medium	14		5847.4728000000005	Klapband!
Hard-Medium	15		5848.128600000001	Klapband!
Hard-Medium	16		5848.788120000001	Klapband!
Hard-Medium	17		5849.451360000001	Klapband!
Hard-Medium	18		5850.1183200000005	Klapband!
Hard-Medium	19		5850.789000000001	Klapband!
Hard-Medium	20		5851.463400000001	Klapband!
Hard-Medium	21		5852.14152	Klapband!
Hard-Medium	22		5852.82336	Klapband!
Hard-Medium	23		5853.508920000001	Klapband!
Hard-Medium	24		5854.198200000001	Klapband!
Hard-Medium	25		5854.891200000001	Klapband!
Hard-Medium	26		5855.587920000001	Klapband!
Hard-Medium	27		5857.24254	Klapband!
Hard-Medium	28		5858.83392	Klapband!
Hard-Medium	29		5860.36206	Klapband!
Hard-Medium	30		5861.82696	Klapband!
Hard-Medium	31		5863.22862	Klapband!
Hard-Medium	32		5864.56704	Klapband!
Hard-Medium	33		5865.84222	Klapband!
Hard-Medium	34		5867.054160000001	Klapband!
Hard-Medium	35		5868.20286	Klapband!
Hard-Medium	36		5869.288320000001	zeer hoog
Hard-Medium	37		5870.31054	zeer hoog
Hard-Medium	38		5871.26952	hoog
Hard-Medium	39		5872.16526	gemiddeld
Hard-Medium	40		5872.99776	gemiddeld
Hard-Medium	41		5873.76702	gemiddeld
Hard-Medium	42		5874.47304	laag
Hard-Medium	43		5875.11582	laag
Hard-Medium	44		5875.69536	laag
Hard-Medium	45		5876.21166	gemiddeld
Hard-Medium	46		5876.664720000001	gemiddeld
Hard-Medium	47		5877.05454	gemiddeld
Hard-Medium	48		5877.38112	gemiddeld
Hard-Medium	49		5877.64446	gemiddeld
Hard-Medium	50		5877.8445600000005	gemiddeld
Hard-Medium	51		5877.98142	hoog
Hard-Medium	52		5878.05504	hoog
Hard-Medium	53		5876.29842	hoog
Hard-Medium	54		5874.4785600000005	zeer hoog
Hard-Medium	55		5872.5954600000005	zeer hoog
Hard-Medium	56		5870.64912	Klapband!
Hard-Medium	57		5868.63954	Klapband!
Hard-Medium	58		5866.56672	Klapband!
Hard-Medium	59		5864.43066	Klapband!
Hard-Medium	60		5862.23136	Klapband!
Hard-Medium	61		5859.96882	Klapband!
Hard-Medium	62		5857.64304	Klapband!
Hard-Medium	63		5855.25402	Klapband!
Hard-Medium	64		5852.80176	Klapband!
Hard-Medium	65		5850.28626	Klapband!
Hard-Medium	66		5847.70752	Klapband!
Hard-Medium	67		5845.06554	Klapband!
Hard-Medium	68		5842.36032	Klapband!
Hard-Medium	69		5839.5918599999995	Klapband!
Hard-Medium	70		5836.76016	Klapband!
Hard-Medium	71		5833.86522	Klapband!
Hard-Medium	72		5830.90704	Klapband!
Hard-Soft	1		5989.2487599999995	Klapband!
Hard-Soft	2		5990.196679999998	Klapband!
Hard-Soft	3		5991.118559999998	Klapband!
Hard-Soft	4		5992.014399999999	Klapband!
Hard-Soft	5		5992.8841999999995	Klapband!
Hard-Soft	6		5993.727959999999	Klapband!
Hard-Soft	7		5994.545679999998	Klapband!
Hard-Soft	8		5995.337359999999	Klapband!
Hard-Soft	9		5996.102999999998	Klapband!
Hard-Soft	10		5996.842599999999	Klapband!
Hard-Soft	11		5997.556159999999	Klapband!
Hard-Soft	12		5998.243679999999	Klapband!
Hard-Soft	13		5998.905159999999	Klapband!
Hard-Soft	14		5999.540599999999	Klapband!
Hard-Soft	15		6000.149999999999	Klapband!
Hard-Soft	16		6000.733359999999	Klapband!
Hard-Soft	17		6001.290679999999	Klapband!
Hard-Soft	18		6001.821959999998	Klapband!
Hard-Soft	19		6002.327199999999	Klapband!
Hard-Soft	20		6002.806399999999	Klapband!
Hard-Soft	21		6003.259559999998	Klapband!
Hard-Soft	22		6003.642039999998	Klapband!
Hard-Soft	23		6003.901759999998	Klapband!
Hard-Soft	24		6004.038719999998	Klapband!
Hard-Soft	25		6004.052919999999	Klapband!
Hard-Soft	26		6003.944359999999	Klapband!
Hard-Soft	27		6003.713039999998	Klapband!
Hard-Soft	28		6003.358959999999	Klapband!
Hard-Soft	29		6002.8821199999975	Klapband!
Hard-Soft	30		6002.282519999998	Klapband!
Hard-Soft	31		6001.560159999998	Klapband!
Hard-Soft	32		6000.715039999998	Klapband!
Hard-Soft	33		5999.747159999998	Klapband!
Hard-Soft	34		5998.65652	Klapband!
Hard-Soft	35		5997.443119999999	Klapband!
Hard-Soft	36		5996.106959999998	Klapband!
Hard-Soft	37		5994.648039999999	Klapband!
Hard-Soft	38		5993.066359999998	Klapband!
Hard-Soft	39		5991.3619199999985	Klapband!
Hard-Soft	40		5989.534719999999	Klapband!
Hard-Soft	41		5987.584759999999	Klapband!
Hard-Soft	42		5985.512039999999	zeer hoog
Hard-Soft	43		5983.316559999998	hoog
Hard-Soft	44		5980.998319999998	hoog
Hard-Soft	45		5978.557319999999	gemiddeld
Hard-Soft	46		5975.993559999998	gemiddeld
Hard-Soft	47		5973.307039999999	gemiddeld
Hard-Soft	48		5970.497759999999	gemiddeld
Hard-Soft	49		5967.565719999999	gemiddeld
Hard-Soft	50		5964.510919999999	gemiddeld
Hard-Soft	51		5961.333359999999	hoog
Hard-Soft	52		5958.033039999998	hoog
Hard-Soft	53		5952.842959999998	hoog
Hard-Soft	54		5947.5301199999985	zeer hoog
Hard-Soft	55		5942.094519999999	zeer hoog
Hard-Soft	56		5936.536159999999	Klapband!
Hard-Soft	57		5930.8550399999995	Klapband!
Hard-Soft	58		5925.051159999999	Klapband!
Hard-Soft	59		5919.124519999999	Klapband!
Hard-Soft	60		5913.0751199999995	Klapband!
Hard-Soft	61		5906.902959999999	Klapband!
Hard-Soft	62		5900.608039999999	Klapband!
Hard-Soft	63		5894.19036	Klapband!
Hard-Soft	64		5887.649919999999	Klapband!
Hard-Soft	65		5880.986719999999	Klapband!
Hard-Soft	66		5874.20076	Klapband!
Hard-Soft	67		5867.292039999999	Klapband!
Hard-Soft	68		5860.26056	Klapband!
Hard-Soft	69		5853.10632	Klapband!
Hard-Soft	70		5845.82932	Klapband!
Hard-Soft	71		5838.42956	Klapband!
Hard-Soft	72		5830.90704	Klapband!
Medium-Hard	1		5829.70332	Klapband!
Medium-Hard	2		5829.09588	Klapband!
Medium-Hard	3		5828.48472	Klapband!
Medium-Hard	4		5827.86984	Klapband!
Medium-Hard	5		5827.2512400000005	Klapband!
Medium-Hard	6		5826.62892	Klapband!
Medium-Hard	7		5826.00288	Klapband!
Medium-Hard	8		5825.37312	Klapband!
Medium-Hard	9		5824.73964	Klapband!
Medium-Hard	10		5824.102440000001	Klapband!
Medium-Hard	11		5823.46152	Klapband!
Medium-Hard	12		5822.81688	Klapband!
Medium-Hard	13		5822.16852	zeer hoog
Medium-Hard	14		5821.51644	zeer hoog
Medium-Hard	15		5820.86064	hoog
Medium-Hard	16		5820.20112	hoog
Medium-Hard	17		5819.53788	hoog
Medium-Hard	18		5818.87092	gemiddeld
Medium-Hard	19		5818.20024	gemiddeld
Medium-Hard	20		5817.52584	gemiddeld
Medium-Hard	21		5816.847720000001	gemiddeld
Medium-Hard	22		5816.1658800000005	gemiddeld
Medium-Hard	23		5815.48032	laag
Medium-Hard	24		5814.79104	laag
Medium-Hard	25		5814.09804	gemiddeld
Medium-Hard	26		5813.40132	gemiddeld
Medium-Hard	27		5811.7467	gemiddeld
Medium-Hard	28		5810.15532	hoog
Medium-Hard	29		5808.62718	hoog
Medium-Hard	30		5807.1622800000005	zeer hoog
Medium-Hard	31		5805.76062	Klapband!
Medium-Hard	32		5804.4222	Klapband!
Medium-Hard	33		5803.14702	Klapband!
Medium-Hard	34		5801.93508	Klapband!
Medium-Hard	35		5800.78638	Klapband!
Medium-Hard	36		5799.70092	Klapband!
Medium-Hard	37		5798.6787	Klapband!
Medium-Hard	38		5797.71972	Klapband!
Medium-Hard	39		5796.82398	Klapband!
Medium-Hard	40		5795.991480000001	Klapband!
Medium-Hard	41		5795.222220000001	Klapband!
Medium-Hard	42		5794.516200000001	Klapband!
Medium-Hard	43		5793.873420000001	Klapband!
Medium-Hard	44		5793.293880000001	Klapband!
Medium-Hard	45		5792.777580000001	Klapband!
Medium-Hard	46		5792.32452	Klapband!
Medium-Hard	47		5791.934700000001	Klapband!
Medium-Hard	48		5791.608120000001	Klapband!
Medium-Hard	49		5791.34478	Klapband!
Medium-Hard	50		5791.14468	Klapband!
Medium-Hard	51		5791.007820000001	Klapband!
Medium-Hard	52		5790.934200000001	Klapband!
Medium-Hard	53		5792.690820000001	Klapband!
Medium-Hard	54		5794.51068	Klapband!
Medium-Hard	55		5796.39378	Klapband!
Medium-Hard	56		5798.340120000001	Klapband!
Medium-Hard	57		5800.349700000001	Klapband!
Medium-Hard	58		5802.422520000001	Klapband!
Medium-Hard	59		5804.558580000001	Klapband!
Medium-Hard	60		5806.757880000001	Klapband!
Medium-Hard	61		5809.020420000001	Klapband!
Medium-Hard	62		5811.346200000001	Klapband!
Medium-Hard	63		5813.7352200000005	Klapband!
Medium-Hard	64		5816.1874800000005	Klapband!
Medium-Hard	65		5818.702980000001	Klapband!
Medium-Hard	66		5821.281720000001	Klapband!
Medium-Hard	67		5823.923700000001	Klapband!
Medium-Hard	68		5826.628920000001	Klapband!
Medium-Hard	69		5829.397380000001	Klapband!
Medium-Hard	70		5832.229080000001	Klapband!
Medium-Hard	71		5835.124020000001	Klapband!
Medium-Hard	72		5838.082200000001	Klapband!
Medium-Soft	1		5988.045039999998	Klapband!
Medium-Soft	2		5988.385519999999	Klapband!
Medium-Soft	3		5988.696239999998	Klapband!
Medium-Soft	4		5988.977199999998	Klapband!
Medium-Soft	5		5989.228399999999	Klapband!
Medium-Soft	6		5989.449839999998	Klapband!
Medium-Soft	7		5989.641519999998	Klapband!
Medium-Soft	8		5989.803439999999	Klapband!
